iter	RMSE
0	3930.139996
1	3824.812805
2	3724.26833
3	3625.104515
4	3529.340094
5	3436.79002
6	3345.436141
7	3258.869749
8	3175.013762
9	3091.614409
10	3012.927002
11	2936.397725
12	2863.117952
13	2790.983511
14	2719.000014
15	2651.785122
16	2584.832958
17	2520.423404
18	2459.564702
19	2398.887884
20	2341.913038
21	2284.244378
22	2229.371652
23	2175.54013
24	2124.546445
25	2074.872606
26	2026.645584
27	1979.844321
28	1935.561724
29	1892.950252
30	1851.893493
31	1811.363538
32	1771.565759
33	1733.910802
34	1697.445504
35	1661.714484
36	1627.621219
37	1594.598838
38	1562.412567
39	1531.471461
40	1501.320944
41	1470.972911
42	1442.820779
43	1415.849612
44	1388.384963
45	1361.398066
46	1337.187595
47	1313.791888
48	1289.954733
49	1267.11456
50	1245.801133
51	1224.446043
52	1204.000148
53	1184.51994
54	1165.348432
55	1146.888057
56	1128.74119
57	1111.925537
58	1095.927428
59	1080.364879
60	1065.593548
61	1051.455588
62	1037.14901
63	1023.751855
64	1010.13066
65	997.763605
66	985.3356348
67	972.8129974
68	960.8780214
69	949.3492511
70	938.4181825
71	927.64467
72	917.804169
73	908.3588681
74	899.0982005
75	889.8854371
76	881.1740112
77	873.1458778
78	864.9401724
79	857.2057142
80	849.3732716
81	841.9660283
82	834.727099
83	827.7081641
84	820.7986884
85	814.5315005
86	808.1742143
87	802.4406816
88	796.8364817
89	791.5148041
90	785.776031
91	780.6109836
92	775.7873444
93	770.6462477
94	765.7635321
95	761.2899517
96	756.6937961
97	752.6873316
98	748.4298215
99	744.3078356
100	740.3319059
101	736.4811318
102	732.9446482
103	729.5603799
104	726.1639925
105	722.8279302
106	719.6419047
107	716.6191365
108	713.7280167
109	710.7686487
110	708.1687732
111	705.5964626
112	703.441929
113	701.0182804
114	698.5153916
115	696.2242766
116	694.0513834
117	691.9073423
118	689.8221984
119	687.866261
120	685.9244726
121	683.8408806
122	681.9117061
123	680.113419
124	678.3937114
125	676.6496625
126	675.1034884
127	673.3289131
128	671.802104
129	670.2605209
130	668.8348107
131	667.3935989
132	665.8655484
133	664.6239585
134	663.1659415
135	661.8610628
136	660.703185
137	659.5436155
138	658.2712355
139	657.170966
140	655.8142437
141	654.6338586
142	653.4649081
143	652.2937535
144	651.225601
145	650.2555739
146	649.4042722
147	648.455283
148	647.1390754
149	646.2208281
150	645.2991999
151	644.4083331
152	643.4216419
153	642.6042392
154	641.6832493
155	640.8522637
156	640.1636433
157	639.3214967
158	638.4430707
159	637.7982756
160	637.0293165
161	636.2692671
162	635.4656426
163	634.8926804
164	634.0389826
165	633.3851875
166	632.7227056
167	632.2306919
168	631.650603
169	631.0200139
170	630.3849592
171	629.8093283
172	629.3562395
173	628.7761063
174	627.8743587
175	627.3037787
176	626.8940494
177	626.4895247
178	626.0371193
179	625.5268412
180	624.9922296
181	624.342713
182	623.8737101
183	623.3144969
184	622.7976456
185	622.3877588
186	621.8071221
187	621.3850827
188	620.8768544
189	620.3887341
190	619.7753156
191	619.3651411
192	619.085732
193	618.4616787
194	617.9365293
195	617.6192682
196	617.2565774
197	616.9948916
198	616.6297977
199	615.9072189
200	615.4300981
201	615.0161469
202	614.6618189
203	614.2680275
204	613.7572291
205	613.4910739
206	612.8461286
207	612.5016612
208	612.2578852
209	611.7919772
210	611.4745895
211	611.1533193
212	610.8345967
213	610.5058436
214	610.0238317
215	609.7659761
216	609.3023451
217	609.0480527
218	608.76188
219	608.4824348
220	608.1521267
221	607.8314193
222	607.6237801
223	607.4078251
224	607.2147972
225	606.8449883
226	606.6830355
227	606.4627135
228	605.9609096
229	605.6018833
230	605.3445482
231	605.0935875
232	604.6918306
233	604.4236781
234	604.2106155
235	603.854746
236	603.6223944
237	603.393344
238	603.171797
239	603.0308035
240	602.7999842
241	602.6092491
242	602.4441184
243	602.2757789
244	602.0285248
245	601.7949782
246	601.4569832
247	601.2735123
248	601.0157454
249	600.8311531
250	600.68173
251	600.4105275
252	600.2574268
253	600.0591392
254	599.8784361
255	599.7230759
256	599.567909
257	599.3953347
258	599.2757055
259	598.9765652
260	598.79664
261	598.7096631
262	598.4913968
263	598.2808437
264	597.9658189
265	597.8304287
266	597.7155948
267	597.5596637
268	597.4005141
269	597.1493144
270	596.9400575
271	596.7893453
272	596.6389086
273	596.4254627
274	596.2640398
275	596.1155422
276	596.0300197
277	595.9059
278	595.6295807
279	595.5464883
280	595.404533
281	595.2422356
282	594.9861885
283	594.8584375
284	594.6768523
285	594.5771949
286	594.4027779
287	594.2698545
288	594.1670796
289	593.9365255
290	593.83733
291	593.7285753
292	593.4356123
293	593.2981651
294	593.1601891
295	592.9818689
296	592.8808826
297	592.7746079
298	592.5957362
299	592.5109738
300	592.4014457
301	592.2809372
302	592.1339392
303	592.0477274
304	591.9500404
305	591.8403254
306	591.691681
307	591.5798272
308	591.4878408
309	591.4044675
310	591.3049398
311	591.1520088
312	591.0522234
313	590.9335703
314	590.81376
315	590.7109411
316	590.540664
317	590.4421304
318	590.3673547
319	590.2650924
320	590.0943554
321	590.0068948
322	589.9254905
323	589.8583249
324	589.7756179
325	589.7110102
326	589.5183612
327	589.3849334
328	589.1510123
329	589.0519173
330	588.9755026
331	588.9050485
332	588.8215984
333	588.6854331
334	588.6026889
335	588.5474094
336	588.4634201
337	588.3218751
338	588.1843571
339	588.1271098
340	588.0620837
341	587.9877101
342	587.9269498
343	587.8610632
344	587.7775302
345	587.7084515
346	587.6289578
347	587.5800237
348	587.521176
349	587.4083622
350	587.3587889
351	587.2696456
352	587.1898011
353	587.054198
354	586.96114
355	586.9100935
356	586.7929319
357	58357	581.5032723
358	581.4353745
359	581.360	586.360	581.361	586.361	581.2270236
362	5363	586.096363	5364	586.011364	5365	585.94365	58366	585.89366	58367	585.82367	58368	585.7470261
369	585.6932301
370	585.6142561
371	585.5437898
372	585.488142
373	585.4608991
374	585.4073482
375	585.3332223
376	585.2714842
377	585.1989353
378	585.0882979
379	584.9063349
380	584.7197287
381	584.673928
382	584.6010804
383	584.5574237
384	584.4984024
385	584.3385215
386	584.2250791
