iter	Passed	Remaining
0	343	205503
1	661	197869
2	1199	238641
3	1779	265185
4	2087	248427
5	2412	238862
6	2681	227140
7	3026	223974
8	3315	217725
9	3670	216565
10	3932	210567
11	4228	207195
12	4562	206020
13	4911	205570
14	5310	207114
15	5884	214801
16	6182	212013
17	6520	210838
18	6847	209388
19	7289	211386
20	7558	208389
21	7819	205429
22	8127	203902
23	8495	203898
24	8804	202492
25	9190	202891
26	9459	200757
27	9851	201258
28	10585	208418
29	10922	207527
30	11409	209424
31	11799	209446
32	12125	208342
33	12422	206805
34	12704	205089
35	13175	206423
36	13451	204687
37	13860	204982
38	14191	204139
39	14518	203256
40	15002	204542
41	15565	206798
42	15936	206436
43	16254	205398
44	16540	203996
45	16849	202929
46	17186	202215
47	17515	201428
48	17770	199828
49	18088	198978
50	18381	197868
51	18684	196902
52	18968	195765
53	19237	194512
54	19542	193648
55	20007	194362
56	20335	193718
57	20859	194927
58	21248	194835
59	21589	194307
60	22037	194723
61	22332	193784
62	22785	194215
63	23299	195133
64	23612	194351
65	24263	196316
66	24697	196474
67	25326	198144
68	25784	198426
69	26220	198525
70	26748	199295
71	27283	200080
72	27606	199299
73	27939	198598
74	28183	197282
75	28515	196604
76	28807	195663
77	29276	195924
78	29755	196237
79	30099	195648
80	30411	194857
81	30989	195761
82	31370	195401
83	31665	194514
84	31957	193625
85	32385	193558
86	33237	195985
87	33623	195626
88	34066	195596
89	34413	195008
90	34840	194877
91	35223	194494
92	35511	193595
93	35842	192937
94	36595	194534
95	37073	194637
96	37556	194750
97	38268	196027
98	38715	195922
99	39099	195498
100	39425	194787
101	39810	194369
102	40306	194486
103	40677	193999
104	41107	193792
105	41453	193190
106	41772	192467
107	42521	193706
108	43282	194969
109	43668	194523
110	44101	194284
111	44472	193774
112	44925	193617
113	45593	194373
114	45938	193741
115	46607	194465
116	46992	193993
117	47426	193725
118	47681	192727
119	47952	191808
120	48248	191000
121	48564	190276
122	48904	189654
123	49286	189195
124	49619	188554
125	50194	188826
126	50530	188194
127	50860	187547
128	51197	186931
129	51504	186207
130	51835	185577
131	52288	185385
132	52666	184926
133	52980	184247
134	53677	184888
135	53931	184001
136	54446	184004
137	54790	183428
138	55253	183249
139	55555	182538
140	55925	182053
141	56262	181465
142	56582	180825
143	57012	180538
144	57791	181345
145	58248	181130
146	58645	180724
147	58986	180147
148	59371	179709
149	59865	179597
150	60436	179709
151	60817	179251
152	61307	179114
153	61577	178334
154	61856	177588
155	62153	176897
156	62502	176360
157	62788	175649
158	63160	175182
159	63413	174386
160	63806	173982
161	64319	173900
162	64718	173507
163	65051	172941
164	65345	172273
165	65826	172099
166	66334	171992
167	66621	171312
168	66932	170698
169	67320	170281
170	67629	169666
171	67961	169112
172	68455	168962
173	69008	168952
174	69306	168316
175	69741	168013
176	70536	168570
177	71019	168371
178	71294	167681
179	71572	167002
180	71910	166466
181	72308	166070
182	72756	165788
183	73214	165527
184	73508	164897
185	74039	164797
186	74529	164601
187	75399	165238
188	76013	165300
189	76935	166019
190	77431	165808
191	77746	165211
192	78037	164566
193	78445	164169
194	78713	163482
195	79102	163047
196	79361	162348
197	79674	161762
198	79990	161186
199	80527	161054
200	81079	160949
201	81344	160273
202	81799	159972
203	82255	159672
204	82598	159153
205	82883	158525
206	83200	157960
207	83442	157256
208	83834	156839
209	84422	156785
210	84858	156445
211	85188	155910
212	85744	155789
213	86063	155236
214	86407	154730
215	86656	154055
216	86987	153530
217	87426	153196
218	87825	152792
219	88402	152694
220	88662	152049
221	88943	151445
222	89497	151302
223	89876	150864
224	90474	150790
225	90823	150300
226	91270	149973
227	91812	149798
228	92501	149859
229	92926	149491
230	93421	149231
231	93910	148961
232	94472	148804
233	94797	148273
234	95246	147935
235	95616	147476
236	96460	147743
237	96738	147140
238	97059	146604
239	97341	146012
240	97627	145428
241	97996	144970
242	98360	144505
243	98860	144239
244	99489	144158
245	99967	143855
246	100210	143215
247	100680	142901
248	100960	142318
249	101166	141632
250	101443	141051
251	101978	140828
252	102383	140422
253	102649	139830
254	102967	139308
255	103548	139142
256	103841	138590
257	104109	138005
258	104726	137882
259	104980	137281
260	105452	136967
261	105792	136479
262	106075	135921
263	106711	135814
264	107073	135357
265	107376	134825
266	107655	134267
267	107973	133757
268	108468	133469
269	108804	132983
270	109170	132535
271	109534	132086
272	109823	131546
273	110103	130998
274	110388	130458
275	110709	129963
276	111039	129479
277	111550	129205
278	111878	128720
279	112520	128594
280	112889	128155
281	113407	127885
282	113704	127364
283	114278	127154
284	114502	126555
285	114925	126176
286	115136	125567
287	115579	125211
288	116029	124862
289	116444	124475
290	116757	123979
291	117170	123590
292	117432	123044
293	117843	122653
294	118210	122217
295	118667	121875
296	119087	121493
297	119380	120983
298	119739	120540
299	120057	120057
300	120313	119514
301	120601	119003
302	121053	118656
303	121497	118300
304	121756	117764
305	122076	117288
306	122449	116865
307	122801	116421
308	123236	116057
309	123520	115551
310	123844	115084
311	124139	114590
312	124424	114088
313	124783	113656
314	125115	113199
315	125392	112694
316	125729	112243
317	126074	111802
318	126401	111344
319	126697	110860
320	127088	110460
321	127813	110347
322	128082	109841
323	128822	109737
324	129978	109981
325	130261	109483
326	130495	108945
327	130846	108507
328	131146	108026
329	131667	107728
330	131917	107208
331	132239	106747
332	132604	106322
333	132900	105843
334	133660	105731
335	134507	105684
336	135112	105443
337	135916	105355
338	136972	105456
339	137675	105280
340	138358	105087
341	138744	104667
342	139169	104276
343	139514	103824
344	139859	103374
345	140108	102854
346	140746	102619
347	141336	102347
348	141845	102015
349	142232	101594
350	142509	101096
351	142865	100655
352	143203	100202
353	143680	99846
354	144073	99431
355	144616	99119
356	144919	98642
357	145622	98437
358	146071	98059
359	146656	97770
360	147055	97358
361	147851	97206
362	148159	96732
363	148448	96246
364	148900	95867
365	149179	95377
366	149488	94906
367	149744	94403
368	150100	93965
369	150710	93685
370	151149	93297
371	151686	92969
372	152052	92535
373	152605	92215
374	152969	91781
375	153273	91311
376	153680	90903
377	153973	90428
378	154277	89961
379	154948	89706
380	155556	89414
381	155921	88981
382	156811	88846
383	157317	88491
384	157866	88158
385	158630	87945
386	159675	87883
387	160309	87591
388	161278	87479
389	162921	87726
390	164827	88104
391	165835	87994
392	166788	87850
393	167614	87635
394	168584	87493
395	169275	87202
396	170021	86938
397	170629	86600
398	171068	86177
399	171775	85887
400	172805	85756
401	173663	85535
402	174335	85221
403	175054	84927
404	175721	84606
405	176267	84226
406	176964	83916
407	177813	83676
408	178210	83222
409	178952	82929
410	179444	82518
411	179835	82060
412	180207	81595
413	180659	81165
414	181335	80836
415	181894	80453
416	182252	79981
417	182711	79553
418	183083	79088
419	183422	78609
420	183847	78168
