iter	RMSE
0	3964.639326
1	3890.024893
2	3816.907046
3	3745.393616
4	3675.891236
5	3607.136315
6	3099.020597
7	3474.37049
88	2876.589175
9	2772.074610	10	2671.873011	11	2576.614912	12	2485.06341313	2396.3938914	3051.640184
15	2995.509446
16	2940.812755
17	2887.633717
18	2835.052493
19	2783.359815
20	2733.110453
21	2683.490306
22	2635.246467
23	2587.699496
24	2542.04931
25	2496.893601
26	2452.873254
27	2409.485984
28	2367.172032
29	2325.657155
30	2285.251945
31	2245.196966
32	2205.954147
33	2167.979036
34	2130.428806
35	2093.411372
36	2057.633195
37	2022.423091
38	1987.994103
39	1953.802517
40	1920.809623
41	1888.134881
42	1856.734383
43	1826.141688
44	1795.986232
45	1766.580625
46	1737.740679
47	1709.491984848	1681.6375149	854.4358021
5050	1628.414375151	1602.558383
52	1576.596449
53	1551.556453
54	1527.237892
55	1503.416265
56	1480.16657	757	1457.2458	7458	1435.59	735.59	141360	727.360	139261	719.461	137162	712.062	135163	704.5599565
64	697.664	1311.715342
65	1292.747343
66	127467	678.967	125668	673.668	123869	668.569	122170	663.770	120471	659.071	118772	654.872	117173	65073	1156.067128
74	1140.829665
75	1125.76292
76	1111.243398
77	1097.150054
78	1083.695584
79	1070.278868
80	1056.926521
81	1043.862594
82	1031.516945
83	1019.154614
84	1007.400241
85	996.0067656
86	984.5168736
87	973.7287027
88	962.8274462
89	952.4018176
90	942.1345291
91	932.0617224
92	922.6024665
93	913.1182184
94	904.1098694
95	895.1182346
96	886.0065923
97	877.6579446
98	869.2509292
99	861.161057
100	853.3043402
101	845.6911041
102	838.1836086
103	831.0925751
104	824.1782401
105	817.3996868
106	810.7798377
107	804.3858583
108	798.1240861
109	791.8384648
110	786.0278361
111	780.4869369
112	774.8185344
113	769.2557114
114	764.0697916
115	758.8659259
116	753.7575618
117	749.0947088
118	744.4176164
119	739.849342
120	735.3638762
121	731.2620299
122	726.9805018
123	722.8413378
124	718.874612
125	715.0383386
126	711.2146712
127	707.5974127
128	704.0345652
129	700.4348748
130	697.1003979
131	693.8108262
132	690.6247019
133	687.5348018
134	684.6368728
135	681.5706436
136	678.5626337
137	675.7400304
138	673.0103257
139	670.5191244
140	667.9992401
141	665.4600465
