iter	Passed	Remaining
0	92	92439
1	107	53463
2	118	39525
3	131	32682
4	141	28107
5	152	25323
6	164	23305
7	175	21705
8	185	20440
9	195	19331
10	205	18489
11	215	17702
12	225	17137
13	236	16673
14	251	16523
15	260	16036
16	270	15636
17	279	15240
18	288	14910
19	298	14612
20	307	14346
21	317	14117
22	326	13884
23	337	13713
24	347	13552
25	357	13387
26	368	13276
27	379	13162
28	388	13024
29	399	12913
30	410	12838
31	419	12701
32	429	12579
33	438	12466
34	447	12334
35	457	12245
36	466	12147
37	476	12050
38	485	11966
39	495	11893
40	504	11807
41	514	11728
42	524	11669
43	533	11602
44	543	11539
45	552	11465
46	562	11399
47	571	11343
48	580	11270
49	589	11207
50	599	11156
51	610	11121
52	619	11065
53	628	11002
54	637	10945
55	646	10894
56	655	10836
57	666	10830
58	676	10792
59	684	10729
60	695	10702
61	704	10661
62	712	10603
63	722	10569
64	731	10518
65	740	10473
66	748	10426
67	757	10381
68	765	10331
69	774	10291
70	784	10267
71	793	10229
72	802	10189
73	811	10154
74	820	10119
75	828	10077
76	838	10045
77	847	10019
78	855	9974
79	864	9937
80	872	9895
81	880	9856
82	889	9828
83	897	9787
84	906	9759
85	915	9734
86	925	9711
87	934	9683
88	942	9647
89	951	9622
90	960	9597
91	970	9581
92	980	9559
93	989	9533
94	997	9500
95	1005	9472
96	1014	9446
97	1023	9419
98	1031	9390
99	1040	9362
100	1049	9343
101	1058	9318
102	1067	9300
103	1076	9272
104	1087	9270
105	1096	9247
106	1105	9226
107	1114	9207
108	1122	9178
109	1131	9153
110	1139	9129
111	1148	9105
112	1157	9087
113	1166	9064
114	1174	9038
115	1183	9021
116	1192	8998
117	1200	8975
118	1209	8956
119	1217	8930
120	1226	8910
121	1234	8884
122	1244	8870
123	1251	8843
124	1259	8819
125	1269	8803
126	1278	8786
127	1287	8770
128	1296	8754
129	1305	8733
130	1313	8711
131	1323	8700
132	1332	8687
133	1340	8665
134	1350	8651
135	1358	8631
136	1366	8608
137	1376	8595
138	1383	8569
139	1394	8568
140	1403	8552
141	1413	8541
142	1422	8526
143	1431	8510
144	1439	8486
145	1447	8466
146	1457	8459
147	1467	8445
148	1477	8439
149	1487	8427
150	1496	8413
151	1506	8403
152	1515	8391
153	1524	8375
154	1534	8365
155	1543	8351
156	1553	8339
157	1562	8324
158	1571	8311
159	1584	8318
160	1592	8297
161	1601	8282
162	1611	8277
163	1620	8262
164	1629	8246
165	1637	8229
166	1646	8214
167	1655	8198
168	1664	8185
169	1676	8183
170	1685	8169
171	1697	8173
172	1707	8162
173	1717	8152
174	1725	8134
175	1733	8116
176	1743	8106
177	1751	8086
178	1759	8068
179	1767	8051
180	1776	8040
181	1786	8027
182	1795	8016
183	1803	7997
184	1811	7979
185	1820	7966
186	1829	7955
187	1837	7937
188	1847	7928
189	1855	7910
190	1884	7983
191	1896	7979
192	1904	7961
193	1913	7949
194	1922	7935
195	1930	7919
196	1938	7903
197	1950	7898
198	1958	7881
199	1966	7866
200	1974	7850
201	1982	7832
202	1991	7817
203	2000	7805
204	2009	7794
205	2017	7777
206	2027	7766
207	2035	7750
208	2045	7742
209	2055	7732
210	2063	7717
211	2073	7705
212	2082	7693
213	2091	7680
214	2099	7664
